image,full_path,category,tier,class
view_vulnerable_1562290816_10_2_1618+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1618+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_566+VALLEJO+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_566+VALLEJO+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1141+MONTGOMERY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1141+MONTGOMERY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_267+GREEN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_267+GREEN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_754+BROADWAY++SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_754+BROADWAY++SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1492+PACIFIC+AVE+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1492+PACIFIC+AVE+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1125+BROADWAY++SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1125+BROADWAY++SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1635+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1635+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1120+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1120+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1441+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1441+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1100+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1100+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1290+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1290+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1537+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1537+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1312+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1312+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1324+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1324+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1529+HYDE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1529+HYDE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1371+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1371+JACKSON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1440+WASHINGTON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1440+WASHINGTON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1429+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1429+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1455+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1455+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1456+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1456+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1345+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1345+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1400+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1400+JONES+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1380+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1380+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1250+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1250+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1224+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1224+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1225+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1225+TAYLOR+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1301+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1301+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1440+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1440+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1450+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1450+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1355+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1355+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1595+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1595+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1201+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1201+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1490+SACRAMENTO+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1490+SACRAMENTO+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1385+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1385+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1300+SACRAMENTO+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1300+SACRAMENTO+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1+DAWSON+PL+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1+DAWSON+PL+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_814+CALIFORNIA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_814+CALIFORNIA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_840+CALIFORNIA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_840+CALIFORNIA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1155+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1155+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1480+LARKIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1480+LARKIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1200+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1200+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1270+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1270+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1031+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1031+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1299+CALIFORNIA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1299+CALIFORNIA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_950+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_950+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_655+STOCKTON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_655+STOCKTON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_621+STOCKTON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_621+STOCKTON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_745+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_745+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_821+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_821+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_825+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_825+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_835+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_835+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_735+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_735+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_735+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_735+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_995+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_995+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_929+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_929+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_955+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_955+PINE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290817_10_2_755+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290817_10_2_755+MASON+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
