parcel_number,address,status_long,latitude,longitude,status_short
011 084002000,856 YORK ST,Incomplete Evaluation,37.81335314,-122.2427687,Incomplete Evaluation
048F735202501,6218 ANTIOCH ST,Done - Level 1,37.82586389,-122.2084057,Level 1
012 093001300,3952 HARRISON ST,Incomplete Evaluation - Unclaimed,37.82170118,-122.2492121,Incomplete Evaluation
029A130503501,3720 FRUITVALE AVE,Done - Level 1,37.8030284,-122.2147265,Level 1
033 212602001,1666 34TH AVE,Done - Level 1,37.78066799,-122.2214402,Level 1
008 062801000,1434 JACKSON ST,Exempt - no large openings,37.80249616,-122.2645211,Exempt
023 040301400,1146 MCKINLEY AVE,Incomplete Evaluation,37.80321858,-122.2386052,Incomplete Evaluation
020 018700300,647 E 17TH ST,Level 1 - missing data  ,37.79631038,-122.2498674,Level 1
012 092700300,360 MONTE VISTA AVE,Done - Level 1,37.82224266,-122.2488566,Level 1
033 211702500,1808 FRUITVALE AVE,Done - Level 1,37.78212545,-122.2231851,Level 1
038 319903303,2610 62ND AVE,Incomplete Evaluation - Unclaimed,37.77013518,-122.1874983,Incomplete Evaluation
010 077801400,438 STATEN AVE,Done - Level 2 Required  ,37.80930553,-122.2534269,Level 2
010 078002402,415 LAGUNITAS AVE,Done - Level 2 Required  ,37.80966565,-122.2506096,Level 2
026 081004600,3186 MCKILLOP RD,Incomplete Evaluation,37.79760311,-122.2202843,Incomplete Evaluation
023 048101800,1285 MACARTHUR BLVD,Level 1 - missing data ,37.80231969,-122.2319202,Level 1
028 090000200,2625 PLEASANT ST,Incomplete Evaluation - Unclaimed,37.79673387,-122.2169107,Incomplete Evaluation
029 099200201,2453 DAMUTH ST Bldg #2,Done - Level 1,37.800764,-122.211312,Level 1
048A703405300,5351 BELGRAVE PLACE,Level 1 - missing data ,37.837767,-122.248532,Level 1
010 078602101,314 PERKINS ST,Exempt - engineer's letter,37.81233822,-122.2550967,Exempt
048F735400301,6533 LUCAS AVE,Incomplete Evaluation,37.82646616,-122.2086007,Incomplete Evaluation
048 562602007,9960 MACARTHUR BLVD,Done - Level 2 Required  ,37.74631726,-122.1562327,Level 2
010 079101903,357 VERNON ST,Done - Level 1,37.81567667,-122.25594,Level 1
010 078505000,274 EUCLID AVE,Done - Level 1,37.81487192,-122.2528603,Level 1
022 033600100,2530 8TH AVE,Done - Level 1,37.80072457,-122.2404252,Level 1
008 063300100,1906 JACKSON ST,Exempt - no large openings,37.80552441,-122.2627126,Exempt
035 238900300,5460 BANCROFT AVE,Done - Level 2 Required  ,37.77203063,-122.1987602,Level 2
010 079503000,2616 HARRISON ST,Done - Level 2 in process,37.81370918,-122.2602184,Level 2
023 046500802,845 MACARTHUR BLVD,Incomplete Evaluation,37.8062434,-122.2395242,Incomplete Evaluation
040A342101001,7868 MACARTHUR BLVD,Done - Level 1,37.76582156,-122.1671364,Level 1
010 078600300,325 EUCLID AVE,Done - Level 1,37.81341358,-122.2529487,Level 1
022 034002500,2600 IVY DR,Done - Level 2 Required  ,37.8014837,-122.2407273,Level 2
039 328001300,6500 FOOTHILL BLVD,Incomplete Evaluation - Unclaimed,37.77080738,-122.1829937,Incomplete Evaluation
039 326600903,2697 HAVENSCOURT BLVD,Done - Level 1,37.76904859,-122.1828022,Level 1
022 033803601,2511 7TH AVE,Done - Level 2 Required  ,37.80185714,-122.2422725,Level 2
036 248300100,5300 WALNUT ST,Done - Level 1,37.77647269,-122.1954775,Level 1
023 043300500,722 HILLGIRT CIR,Done - Level 2 Required  ,37.80758844,-122.2426954,Level 2
032 203000300,3020 35TH AVE - West bldg,Done - Level 1,37.790182,-122.206017,Level 1
023 041901904,590 BODEN WAY,Incomplete Evaluation,37.80808195,-122.2471554,Incomplete Evaluation
010 077700900,370 BELMONT ST,Ask for exemption - did not review ,37.81003967,-122.25494,Exempt
023 040101200,2 HOME PL E,Done - Level 2 Required,37.8039286,-122.2381341,Level 2
011 083703400,777 RAND AVE,Incomplete Evaluation,37.81203971,-122.2433825,Incomplete Evaluation
010 078901801,350 ADAMS ST,Incomplete Evaluation,37.81459511,-122.255135,Incomplete Evaluation
010 081702400,564 OAKLAND AVE,Incomplete Evaluation,37.81998267,-122.2515751,Incomplete Evaluation
015 135202800,6015 M L KING JR WAY,Incomplete Evaluation,37.845479,-122.271213,Incomplete Evaluation
021 022601600,200 WAYNE AVE,Done - Level 1 ,37.80123026,-122.252211,Level 1
014 123301800,427 AVON ST,Incomplete Evaluation,37.83730484,-122.2588011,Incomplete Evaluation
027 088401500,3422 ALEXANDER CT,Incomplete Evaluation,37.78365648,-122.2187161,Incomplete Evaluation
030 192901701,3865 MAYBELLE AVE,Exempt - less than 5 units,37.79118484,-122.1927508,Exempt
012 098704000,109 MONTE CRESTA AVE,Done - Level 2 Required  ,37.82501928,-122.249921,Level 2
022 038001200,3225 BEAUMONT AVE,Done - Level 1,37.80019674,-122.2292914,Level 1
010 082602400,400 SANTA CLARA AVE,Done - Level 2 Required,37.8127669,-122.2481816,Level 2
010 078502302,520 VAN BUREN AVE,Incomplete Evaluation,37.81171282,-122.2509848,Incomplete Evaluation
022 033700400,2501 IVY DR,Incomplete Evaluation,37.80170685,-122.2419124,Incomplete Evaluation
022 036702803,2936 14TH AVE,Done - Level 2 Required  ,37.79770198,-122.2295704,Level 2
032 209100300,2037 38TH AVE,Done - Level 1,37.78109607,-122.2145987,Level 1
027 085501100,3020 BROOKDALE AVE,Level 1 - missing data ,37.79225768,-122.2152046,Level 1
021 022402605,166 ATHOL AVE,Incomplete Evaluation - Unclaimed,37.80071092,-122.2525716,Incomplete Evaluation
010 080201100,232 29TH ST,Done - Level 1,37.8167918,-122.2592235,Level 1
011 085102800,942 VERMONT ST,Level 1 - missing data,37.81570351,-122.2430096,Level 1
010 078500702,281 MACARTHUR BLVD,Done - Level 2 Required  ,37.81471638,-122.2521677,Level 2
030 192502700,3814 39TH AVE,Done - Level 1,37.79164869,-122.1936563,Level 1
010 077804700,424 STATEN AVE,Incomplete Evaluation,37.80964706,-122.2533832,Incomplete Evaluation
010 079500909,287 VERNON ST,Exempt - Garage In basement,37.81484579,-122.2573982,Exempt
009 072401100,854 33RD ST,Incomplete Evaluation,37.8238793,-122.2742858,Incomplete Evaluation
044 498100600,9601 B ST,Exempt - no large openings,37.7440106,-122.1751978,Exempt
008 063000100,145 17TH ST,Level 1 - missing data ,37.80389972,-122.2622504,Level 1
020 017800301,427 FOOTHILL BLVD,Done - Level 1,37.7972383,-122.2526598,Level 1
010 078602400,314 WARWICK AVE,Done - Level 1,37.81268173,-122.2545783,Level 1
010 079101905,1436 36TH AVE,Incomplete Evaluation,37.776361,-122.221245,Incomplete Evaluation
010 079101905,354 ORANGE ST,Done - Level 1,37.81607099,-122.255946,Level 1
008 062800200,185 15TH ST,Exempt - engineer's letter,37.80253099,-122.264301,Exempt
022 030502001,518 E 22ND ST,Done - Level 1,37.80074886,-122.2457634,Level 1
032 205201700,2800 VIOLA ST,Done - Level 1,37.78675126,-122.2058882,Level 1
010 082200900,472 JEAN ST,Done - Level 1,37.8146551,-122.2501017,Level 1
022 034101300,2605 9TH AVE,Done - Level 2 Required  ,37.80076426,-122.2397554,Level 2
021 028902501,1725 E 22ND ST,Done - Level 1,37.79301791,-122.2372324,Level 1
046 543300700,1603 92ND AVE,Exempt - no large openings,37.75004739,-122.1716022,Exempt
010 078301601,388 STATEN AVE,Level 1 - missing data ,37.8109109,-122.2534095,Level 1
010 077600400,445 STATEN AVE,Done - Level 1,37.80915711,-122.2539843,Level 1
028 091603200,2867 MACARTHUR BLVD,Done - Level 1,37.79808356,-122.207219,Level 1
009 068800801,444 28TH ST,Done - Level 1,37.81695229,-122.2664785,Level 1
012 092901100,3921 HARRISON ST,Incomplete Evaluation,37.82197927,-122.250101,Incomplete Evaluation
011 083700900,743 WARFIELD AVE,Incomplete Evaluation,37.81248493,-122.2455348,Incomplete Evaluation
023 041901300,515 MERRITT AVE,Done - Level 1,37.80734168,-122.2479178,Level 1
010 078302201,366 STATEN AVE,Incomplete Evaluation - Unclaimed,37.81167289,-122.2537461,Incomplete Evaluation
022 030900700,365 HANOVER AVE,Done - Level 1,37.80322153,-122.2497352,Level 1
023 041000600,633 CLEVELAND ST,Level 1 - missing data ,37.8052103,-122.2470225,Level 1
010 079602100,262 VERNON ST,Done - Level 2 Required  ,37.81388231,-122.2580352,Level 2
023 040102100,676 ALMA AVE,Incomplete Evaluation,37.80513675,-122.2373476,Incomplete Evaluation
048A704100500,6066 MONROE AVE,Done - Level 1,37.84121665,-122.246731,Level 1
012 101101200,456 40TH ST,Level 1 - missing data,37.82910105,-122.2623183,Level 1
010 078700900,347 WARWICK AVE,Exempt - engineer's letter,37.81363927,-122.2540158,Exempt
043A464200311,2730 ALVINGROOM CT,Exempt - less than 5 units,37.76055322,-122.1605524,Exempt
027 087300900,3320 DAVIS ST,Incomplete Evaluation,37.78857882,-122.2164559,Incomplete Evaluation
038 318100400,5735 AVENAL AVE,Incomplete Evaluation - Unclaimed,37.77146587,-122.1935031,Incomplete Evaluation
041 420301401,1071 81ST AVE,Done - Level 1,37.75376338,-122.184822,Level 1
023 046300100,690 MONTCLAIR AVE,Incomplete Evaluation,37.80657091,-122.2408577,Incomplete Evaluation
010 078500701,275 MACARTHUR BLVD,Level 1 - missing data ,37.81484908,-122.2522264,Level 1
027 089601201,2333 HUMBOLDT AVE,Done - Level 1,37.78782136,-122.2148792,Level 1
030 193501004,3761 HIGH ST,Done - Level 2 Required  ,37.789578,-122.19185,Level 2
036 242700900,2423 MONTICELLO AVE,Done - Level 1,37.77755578,-122.2011145,Level 1
023 041803000,626 BEACON ST,Incomplete Evaluation,37.80803172,-122.2464817,Incomplete Evaluation
040 339200200,7709 GARFIELD AVE,Exempt - less than 5 units,37.76426129,-122.173442,Exempt
020 013700300,837 E 15TH ST - front house,Done - Level 1,37.79359241,-122.2502195,Level 1
032 203108600,3217 LIESE AVE,Done - Level 1,37.78786832,-122.2019578,Level 1
010 077000800,240 GRAND AVE,Done - Level 1,37.81020864,-122.2594195,Level 1
013 113512800,2005 PLEASANT VALLEY AVE,Done - Level 2 Required  ,37.83358718,-122.2513412,Level 2
014 126605900,5920 COLLEGE AVE,Exempt - engineer's letter,37.84762301,-122.2518472,Exempt
003 006301300,1605 CLAY ST,Done - Level 1,37.80684574,-122.2729138,Level 1
016 142402203,6408 IRWIN CT,Done - Level 1,37.8504064,-122.2610999,Level 1
013 110901000,4223 TERRACE ST,Exempt - no large openings,37.83069739,-122.2538133,Exempt
022 035301402,1856 E 25TH ST,Done - Level 1,37.79505555,-122.2335833,Level 1
012 098903201,76 LINDA AVE,Incomplete Evaluation,37.8262615,-122.2489955,Incomplete Evaluation
010 078902301,382 ADAMS ST,Done - Level 1 ,37.81498634,-122.2542683,Level 1
010 078801201,265 JAYNE AVE,Incomplete Evaluation,37.81309999,-122.2568685,Incomplete Evaluation
010 077501700,444 LEE ST,Incomplete Evaluation - Unclaimed,37.80977841,-122.2565671,Incomplete Evaluation
014 121200100,5527 SHATTUCK AVE,Exempt - retrofitted,37.84106078,-122.2649317,Exempt
027 085304400,2856 FRUITVALE AVE,Level 1 - missing data ,37.79276282,-122.2185919,Level 1
033 212902400,1630 35TH AVE,Incomplete Evaluation,37.77943415,-122.2204826,Incomplete Evaluation
012 099600400,263 41ST ST,Exempt - retrofitted,37.82777142,-122.2551885,Exempt
012 099600901,225 41ST ST,Level 1 - missing data,37.82749176,-122.2544668,Level 1
010 081400301,3845 HARRISON ST,Incomplete Evaluation,37.82169404,-122.251057,Incomplete Evaluation
008 063300601,150 17TH ST,Incomplete Evaluation,37.80450115,-122.2625492,Incomplete Evaluation
011 083703200,539 MANDANA BLVD,Done - Level 2 Required  ,37.81220773,-122.2436673,Level 2
023 041700102,498 CAPITAL ST,Done - Level 2 Required,37.80670677,-122.2471947,Level 2
020 021801300,1722 8TH AVE,Level 1 - missing data ,37.79559957,-122.247918,Level 1
030 198015700,3810 REDDING ST,Incomplete Evaluation,37.79125512,-122.1992118,Incomplete Evaluation
020 021400100,1756 12TH AVE,Done - Level 1,37.79299838,-122.2442823,Level 1
040A341003400,7708 MACARTHUR BLVD,Done - Level 1,37.76715328,-122.1685968,Level 1
022 037101600,3104 14TH AVE,Done - Level 1,37.79897758,-122.228879,Level 1
023 041300801,410 MERRITT AVE,Level 2 - Missing slope,37.80514813,-122.2491343,Incomplete Evaluation
020 016300100,1905 FOOTHILL BLVD,Done - Level 1 ,37.78785084,-122.2393205,Level 1
045 537100303,587 105TH AVE,Done - Level 1,37.7331847,-122.1788241,Level 1
035 240200604,1718 HIGH ST,Incomplete Evaluation,37.77404213,-122.2121217,Incomplete Evaluation
022 033800900,2401 IVY DR,Done - Level 2 Required  ,37.80135366,-122.2435919,Level 2
022 031500100,2415 7TH AVE,Done - Level 2 Required  ,37.80116353,-122.242837,Level 2
048A703902400,5410 BROADWAY,Done - Level 2 Required  ,37.83930738,-122.2489604,Level 2
028 093900502,3066 MACARTHUR BLVD,Incomplete Evaluation,37.79667421,-122.2036007,Incomplete Evaluation
047 555802604,10500 BANCROFT AVE,Level 1 - missing data ,37.74217287,-122.1569535,Level 1
023 041801302,627 BEACON ST,Incomplete Evaluation - Unclaimed,37.80842108,-122.2466185,Incomplete Evaluation
022 031301201,2275 PARK BLVD,Done - Level 2 Required  ,37.80185036,-122.2455775,Level 2
010 083102000,650 VERNON ST,Incomplete Evaluation - Unclaimed,37.81927749,-122.2486888,Incomplete Evaluation
027 084401003,2578 FRUITVALE AVE,Done - Level 1,37.78887997,-122.2202203,Level 1
010 077300503,279 LEE ST,Level 2 - Missing slope,37.81213113,-122.2570247,Incomplete Evaluation
038 324001700,5720 HARMON AVE,Incomplete Evaluation,37.76946794,-122.1958891,Incomplete Evaluation
009 069602300,699 30TH ST,Exempt - no large openings,37.81958501,-122.2723232,Exempt
015 134100900,996 60TH ST,Incomplete Evaluation,37.84395024,-122.2794087,Incomplete Evaluation
010 082301101,377 SANTA CLARA AVE,Exempt - engineer's letter,37.81334975,-122.2488107,Exempt
038 318300800,2451 SEMINARY AVE,Level 2 - Missing slope,37.77055217,-122.1922015,Incomplete Evaluation
022 031301202,415 VAN DYKE AVE,Done - Level 2 Required,37.80202714,-122.2455582,Level 2
010 078400601,365 EUCLID AVE,Exempt - engineer's letter,37.81241599,-122.2524797,Exempt
010 078601001,369 PALM AVE,Done - Level 1,37.81265292,-122.2538516,Level 1
023 039502900,858 E 28TH ST,Exempt - retrofitted,37.80222549,-122.2379549,Exempt
032 203110300,3116 38TH AVE,Incomplete Evaluation,37.78743218,-122.2023728,Incomplete Evaluation
010 076901100,141 MONTECITO AVE,Done - Level 2 Required  ,37.81194616,-122.2598082,Level 2
023 041801100,643 BEACON ST,Done - Level 1,37.80857025,-122.2462839,Level 1
025 072102200,3080 E 15TH ST,Done - Level 1,37.77936739,-122.2261217,Level 1
019 002802003,201 E 12TH ST,Done - Level 1,37.79676578,-122.2574383,Level 1
038 321501600,5949 BROMLEY AVE,Incomplete Evaluation,37.76624631,-122.1958755,Incomplete Evaluation
023 039502800,878 E 28TH ST,Incomplete Evaluation - Unclaimed,37.80195994,-122.2380217,Incomplete Evaluation
032 205802101,2619 HIGH ST,Incomplete Evaluation,37.78297752,-122.2039552,Incomplete Evaluation
010 077902001,420 BELLEVUE AVE,Incomplete Evaluation,37.80983226,-122.2522802,Incomplete Evaluation
020 013600300,735 E 15TH ST,Level 1 - missing data ,37.79428572,-122.2507717,Level 1
022 033800700,2417 IVY DR,Done - Level 2 Required  ,37.80144021,-122.2432086,Level 2
029 125504000,5025 WOODMINSTER LN,Done - Level 1,37.81160258,-122.1975196,Level 1
023 040601100,500 ZORAH ST,Done - Level 1,37.80278212,-122.2425082,Level 1
027 084800401,3035 LYNDE ST Bldg B ,Done - Level 1,37.790738,-122.218885,Level 1
033 213503000,3739 FOOTHILL BLVD,Incomplete Evaluation,37.77901022,-122.2171837,Incomplete Evaluation
010 077902401,410 BELLEVUE AVE,Done - Level 1,37.8102421,-122.2522277,Level 1
010 081301600,129 MOSS AVE,Incomplete Evaluation,37.821084,-122.25385,Incomplete Evaluation
023 041003100,604 BROOKLYN AVE,Done - Level 2 Required  ,37.80481497,-122.2486757,Level 2
023 041701000,478 CAPITAL ST,Exempt - no large openings,37.80633396,-122.2474469,Exempt
013 113901803,360 45TH ST,Done - Level 1,37.83374006,-122.2564959,Level 1
010 078600700,385 PALM AVE,Incomplete Evaluation,37.81297111,-122.2532874,Incomplete Evaluation
046 546203400,2008 96TH AVE,Done - Level 1,37.74867959,-122.1646365,Level 1
030 192901802,3833 MAYBELLE AVE,Exempt - retrofitted,37.79093179,-122.193104,Exempt
010 077800800,433 BELLEVUE AVE,Incomplete Evaluation,37.80940664,-122.2529787,Incomplete Evaluation
010 077600800,378 GRAND AVE,Done - Level 1 ,37.80916745,-122.2547046,Level 1
039 330902700,7216 ORRAL ST,Exempt - no large openings,37.76120999,-122.1847716,Exempt
022 036903400,2040 E 30TH ST,Incomplete Evaluation,37.79749675,-122.2275104,Incomplete Evaluation
029 099100401,2531 DAMUTH ST,Incomplete Evaluation,37.80035716,-122.2106099,Incomplete Evaluation
013 111101400,4235 MONTGOMERY ST,Done - Level 1,37.82999784,-122.2516459,Level 1
027 084401006,2558 FRUITVALE AVE,Done - Level 1,37.78863496,-122.2203328,Level 1
035 238700800,5142 BANCROFT AVE,Incomplete Evaluation,37.77204778,-122.2038512,Incomplete Evaluation
010 083003001,630 MARIPOSA AVE,Incomplete Evaluation,37.82018581,-122.2491999,Incomplete Evaluation
008 062504300,315 15TH ST,Exempt - retrofitted,37.80380703,-122.2674937,Exempt
016 142701400,642 ALCATRAZ AVE,Level 2 - Missing slope,37.85002552,-122.2636916,Incomplete Evaluation
029A130500800,3801 LINCOLN AVE,Done - Level 1,37.8030951,-122.2111258,Level 1
020 020000200,2121 E 17TH ST,Done - Level 1,37.78718851,-122.2363331,Level 1
010 077103400,168 MONTECITO AVE,Done - Level 1,37.81194024,-122.2589436,Level 1
025 071600901,1510 29TH AVE,Level 1 - missing data,37.78011604,-122.2276433,Level 1
012 097902600,3764 SHAFTER AVE,Ask for exemption - did not review ,37.82587193,-122.260041,Exempt
022 034200200,907 E 28TH ST,Incomplete Evaluation,37.80112268,-122.2383526,Incomplete Evaluation
048A703801400,5445 BROADWAY,Done - Level 2 in process,37.84016009,-122.2492,Level 2
009 074001300,984 34TH ST,Incomplete Evaluation,37.82535925,-122.2771202,Incomplete Evaluation
010 079101501,389 VERNON ST,Incomplete Evaluation,37.81636282,-122.2547127,Incomplete Evaluation
010 077400801,301 PERKINS ST,Done - Level 1,37.81247581,-122.2558729,Level 1
010 083102400,664 VERNON ST,Done - Level 2 Required  ,37.81969718,-122.2482157,Level 2
009 070800300,3027 TELEGRAPH AVE,Incomplete Evaluation - Unclaimed,37.8196254,-122.2674278,Incomplete Evaluation
023 041901903,570 BODEN WAY,Incomplete Evaluation,37.80794962,-122.247499,Incomplete Evaluation
042 424702001,1263 82ND AVE,Incomplete Evaluation,37.75465607,-122.1815584,Incomplete Evaluation
010 082202500,491 CRESCENT ST,Incomplete Evaluation,37.81457942,-122.249485,Incomplete Evaluation
029A130100303,3649 DIMOND AVE,Incomplete Evaluation,37.80324152,-122.2167289,Incomplete Evaluation
028 094503500,3550 LAUREL AVE,Done - Level 1,37.7956117,-122.2036033,Level 1
032 205304000,2868 38TH AVE,Incomplete Evaluation - Unclaimed,37.78687897,-122.204097,Incomplete Evaluation
027 087001800,3205 BROOKDALE AVE,Level 1 - missing data ,37.79079864,-122.2135105,Level 1
020 017700803,1515 6TH AVE,Done - Level 1,37.79607035,-122.2520162,Level 1
027 086100200,3011 SCHOOL ST,Done - Level 1,37.79431091,-122.212377,Level 1
011 083705100,525 GLENVIEW AVE,Incomplete Evaluation,37.81175235,-122.2445884,Incomplete Evaluation
022 035702501,1330 E 28TH ST,Exempt - less than 5 units,37.7990596,-122.2344137,Exempt
027 085304200,2834 FRUITVALE AVE,Exempt - retrofitted,37.79250541,-122.2189259,Exempt
023 042502800,734 WESLEY WAY,Incomplete Evaluation,37.80992164,-122.2432359,Incomplete Evaluation
009 069801602,2910 M L KING JR WAY,Incomplete Evaluation - Unclaimed,37.81928661,-122.2707606,Incomplete Evaluation
023 042001100,522 MERRITT AVE,Level 1 - missing data ,37.80684216,-122.2471533,Level 1
023 047800402,3770 PARK BOULEVARD WAY,Incomplete Evaluation,37.80487265,-122.230081,Incomplete Evaluation
027 087600200,2289 35TH AVE,Done - Level 1,37.78590489,-122.214461,Level 1
010 081702800,169 SANTA ROSA AVE,Done - Level 1,37.81965225,-122.2510492,Level 1
020 018100400,137 E 16TH ST,Exempt - no large openings,37.799239,-122.25497,Exempt
020 012200400,739 INTERNATIONAL BLVD,Incomplete Evaluation - Unclaimed,37.79359291,-122.2518204,Incomplete Evaluation
022 036701601,1948 E 29TH ST,Done - Level 2 Required,37.79731852,-122.2292621,Level 2
012 099602600,266 40TH STREET WAY,Exempt - city inspection,37.8275009,-122.255647,Exempt
012 098705201,155 MONTE CRESTA AVE,Incomplete Evaluation - Unclaimed,37.82372582,-122.2498861,Incomplete Evaluation
009 073501300,454 34TH ST,Incomplete Evaluation,37.82227701,-122.2642796,Incomplete Evaluation
023 039503901,3206 PARK BLVD,Exempt - engineer's letter,37.80294706,-122.2360204,Exempt
035 236204100,1448 50TH AVE,Level 1 - missing data,37.77035798,-122.2077417,Level 1
027 086902801,3300 BROOKDALE AVE,Done - Level 1,37.79086828,-122.2120966,Level 1
010 077100601,301 LENOX AVE,Done - Level 2 Required,37.81136211,-122.2578328,Level 2
022 030801603,333 WAYNE AVE,Done - Level 2 Required,37.803404,-122.253066,Level 2
023 047800201,3760 PARK BOULEVARD WAY,Incomplete Evaluation,37.80505599,-122.230483,Incomplete Evaluation
046 547302103,9316 BANCROFT AVE,Done - Level 1,37.75194518,-122.163955,Level 1
020 012903200,1438 LAKESHORE AVE,Exempt - no large openings,37.79964383,-122.2567896,Exempt
029A133004100,4902 PARK BLVD,Exempt - less than 5 units,37.81275654,-122.214045,Exempt
029A130501502,3715 LINCOLN AVE,Exempt - no large openings,37.80240995,-122.2120103,Exempt
025 073404200,1654 25TH AVE,Done - Level 1,37.78413433,-122.2307543,Level 1
010 080801901,3300 KEMPTON AVE,Level 1 - missing data ,37.81964679,-122.257165,Level 1
003 004302900,670 18TH ST,Done - Level 1,37.80925167,-122.2746731,Level 1
022 033700300,2515 IVY DR,Level 1 - missing data ,37.80180537,-122.241692,Level 1
029A130101601,3525 DIMOND AVE,Level 1 - missing data ,37.80142262,-122.2173934,Level 1
010 078503403,366 EUCLID AVE,Exempt - no large openings,37.81239722,-122.2517651,Exempt
010 077301202,270 VAN BUREN AVE,Incomplete Evaluation,37.81138389,-122.257128,Incomplete Evaluation
012 093000401,715 OAKLAND AVE,Done - Level 1 ,37.82133953,-122.2491987,Level 1
024 053102400,3815 PARK BLVD,Done - Level 1,37.80498299,-122.2282417,Level 1
032 208302300,1904 42ND AVE,Level 1 - missing data ,37.77599236,-122.2126912,Level 1
022 034001802,2500 IVY DR,Done - Level 2 Required  ,37.80137752,-122.2419742,Level 2
010 080801100,391 FAIRMOUNT AVE,Done - Level 2 Required,37.81904811,-122.2572238,Level 2
012 101004100,466 41ST ST,Exempt - engineer's letter,37.82984214,-122.2620065,Exempt
035 236100700,1541 50TH AVE,Done - Level 1,37.77125113,-122.2077986,Level 1
021 023101700,1820 5TH AVE,Done - Level 1,37.79845144,-122.2494961,Level 1
022 033700100,2551 IVY DR,Done - Level 2 Required  ,37.80180517,-122.2412976,Level 2
019 002100200,515 E 11TH ST,Exempt - no large openings,37.79400236,-122.2556695,Exempt
020 015901400,2268 E 15TH ST,Done - Level 1,37.78485133,-122.235573,Level 1
024 054402200,4306 PARK BLVD,Incomplete Evaluation,37.80767301,-122.2211571,Incomplete Evaluation
029 098205500,2856 CARMEL ST,Level 1 - missing data ,37.80208792,-122.2036113,Level 1
010 077701201,420 PERKINS ST,Done - Level 1,37.81001232,-122.255348,Level 1
015 135801701,5908 M L KING JR WAY,Done - Level 1,37.84445956,-122.2702784,Level 1
028 095103601,3418 SCHOOL ST,Incomplete Evaluation,37.79199556,-122.2063008,Incomplete Evaluation
014 125600402,5420 CLAREMONT AVE,Incomplete Evaluation,37.84130358,-122.2582519,Incomplete Evaluation
008 063300901,1880 JACKSON ST,Incomplete Evaluation,37.80473028,-122.2631015,Incomplete Evaluation
