BLOCK,LOT,PROPERTY,SUBJECT TO THE PROGRAM Y/N,TIER,STATUS,BOS DISTRICT
578,10,2060 PACIFIC AV,Y,2,Non-Compliant,2
622,9,1750 SACRAMENTO ST,Y,2,Non-Compliant,3
623,5,1870 SACRAMENTO ST,Y,2,Non-Compliant,2
632,3,2740 SACRAMENTO ST,Y,2,Non-Compliant,2
638,4,2120 CALIFORNIA ST,Y,2,Non-Compliant,2
643,10,1650 CALIFORNIA ST,Y,2,Non-Compliant,3
649,13,1808 OCTAVIA ST,Y,2,Non-Compliant,2
652,1,2201 CALIFORNIA ST,Y,2,Non-Compliant,2
664,7,1700 BUSH ST,Y,2,Non-Compliant,5
665,35,1777 PINE ST,Y,2,Non-Compliant,2
665,33,1666 GOUGH ST,Y,2,Non-Compliant,2
673,7,1570 SUTTER ST,Y,2,Non-Compliant,5
681,5,2100 POST ST,Y,2,Non-Compliant,5
717,16,851 OFARRELL ST,Y,2,Non-Compliant,6
751,1,1150 PIERCE ST,Y,2,Non-Compliant,5
751,1,1225 STEINER ST,Y,2,Non-Compliant,5
751,1,1520 TURK ST,Y,2,Non-Compliant,5
751,1,1560 TURK ST,Y,2,Non-Compliant,5
751,1,1625 EDDY ST,Y,2,Non-Compliant,5
751,1,1675 EDDY ST,Y,2,Non-Compliant,5
803,5,719 FILLMORE ST,Y,2,Non-Compliant,5
803,2,745 FILLMORE ST,Y,2,Non-Compliant,5
804,9,830 HAYES ST,Y,2,Non-Compliant,5
808,43,465 GROVE ST,Y,2,Non-Compliant,5
809,4,325 FRANKLIN ST,Y,2,Non-Compliant,5
824,5,508 SCOTT ST,Y,2,Non-Compliant,5
825,35,1001 FELL ST,Y,2,Non-Compliant,5
832,5,230 OAK ST,Y,2,Non-Compliant,5
839,10,250 PAGE ST,Y,2,Non-Compliant,5
843,8,600 PAGE ST,Y,2,Non-Compliant,5
856,23,115 HAIGHT ST,Y,2,Non-Compliant,5
856,12,100 LAGUNA ST,Y,2,Non-Compliant,5
934,1,3155 BRODERICK ST,Y,2,Non-Compliant,2
934,7,1 RICHARDSON AV,Y,2,Non-Compliant,2
938,18,2525 LOMBARD ST,Y,2,Non-Compliant,2
939,40,2740 GREENWICH ST,Y,2,Non-Compliant,2
939,31,2659 LOMBARD ST,Y,2,Non-Compliant,2
1000,26,3099 WASHINGTON ST,Y,2,Non-Compliant,2
1020,12,3398 CALIFORNIA ST,Y,2,Non-Compliant,2
1031,27,3151 CALIFORNIA ST,Y,2,Non-Compliant,2
1145A,23,520 PARKER AV,Y,2,Non-Compliant,1
1170,1,701 PARKER AV,Y,2,Non-Compliant,1
1176,19,700 CENTRAL AV,Y,2,Non-Compliant,5
1178,12,1470 FULTON ST,Y,2,Non-Compliant,5
1178,27,1715 MCALLISTER ST,Y,2,Non-Compliant,5
1208,7,1600 FELL ST,Y,2,Non-Compliant,5
1238,1,909 PAGE ST,Y,2,Non-Compliant,5
1368,36,136 09TH AV,Y,2,Non-Compliant,1
1402,49,360 32ND AV,Y,2,Non-Compliant,1
1446,48,1345 CLEMENT ST,Y,2,Non-Compliant,1
1459,33,6324 GEARY BL,Y,2,Non-Compliant,1
1473,3,7700 GEARY BL,Y,2,Non-Compliant,1
1474,21,464 43RD AV,Y,2,Non-Compliant,1
1505,39,7555 GEARY BL,Y,2,Non-Compliant,1
1649,10,759 06TH AV,Y,2,Non-Compliant,1
1733,1,1601 LINCOLN WY,Y,2,Non-Compliant,4
1742,14,1275 08TH AV,Y,2,Non-Compliant,5
1833,014A,1640 KIRKHAM ST,Y,2,Non-Compliant,4
1843,51,1421 10TH AV,Y,2,Non-Compliant,7
1894,57,1576 GREAT HY,Y,2,Non-Compliant,4
2047,57,1855 10TH AV,Y,2,Non-Compliant,7
2378,35,2444 GREAT HY,Y,2,Non-Compliant,4
2449,26,2690 GREAT HY,Y,2,Non-Compliant,4
2629A,27,400 UPPER TR,Y,2,Non-Compliant,8
2633,1,301 PARNASSUS AV,Y,2,Non-Compliant,5
2655,42,1222 CLAYTON ST,Y,2,Non-Compliant,8
2659,55,311 CORBETT AV,Y,2,Non-Compliant,8
2745,37,646 CORBETT AV,Y,2,Non-Compliant,8
2832,22,630 GRAND VIEW AV,Y,2,Non-Compliant,8
2854,6,120 GARDENSIDE DR,Y,2,Non-Compliant,8
2854,8,98 PARKRIDGE DR,Y,2,Non-Compliant,8
3534,017A,550 14TH ST,Y,2,Non-Compliant,8
3542,14,2160 MARKET ST,Y,2,Non-Compliant,8
3547,19,361 14TH ST,Y,2,Non-Compliant,9
3641,74,2700 FOLSOM ST,Y,2,Non-Compliant,9
3650,50,240 CHATTANOOGA ST,Y,2,Non-Compliant,8
3775,48,22 SOUTH PARK ,Y,2,Non-Compliant,6
3775,57,102 SOUTH PARK ,Y,2,Non-Compliant,6
4715,12,40 OSCEOLA LN,Y,2,Non-Compliant,10
6122,21,3070 SAN BRUNO AV,Y,2,Non-Compliant,9
6515,8,324 BARTLETT ST,Y,2,Non-Compliant,9
6515,23,1341 VALENCIA ST,Y,2,Non-Compliant,9
6518,19,949 CAPP ST,Y,2,Non-Compliant,9
6530,001A,3465 25TH ST,Y,2,Non-Compliant,9
6581,45,4155 CESAR CHAVEZ ST,Y,2,Non-Compliant,8
6593,5,228 DUNCAN ST,Y,2,Non-Compliant,8
7084,48,700 RANDOLPH ST,Y,2,Non-Compliant,11
65,25,700 LOMBARD ST,Y,2,"Work Complete, CFC Issued",3
98,2,1000 UNION ST,Y,2,"Work Complete, CFC Issued",2
98,5,1048 UNION ST,Y,2,"Work Complete, CFC Issued",2
113,016A,290 GREEN ST,Y,2,"Work Complete, CFC Issued",3
122,1,1955 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
122,36,1925 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
124,30,2120 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
129,19,1618 MASON ST,Y,2,"Work Complete, CFC Issued",3
132,46,566 VALLEJO ST,Y,2,"Work Complete, CFC Issued",3
133,5,1141 MONTGOMERY ST,Y,2,"Work Complete, CFC Issued",3
134,27,267 GREEN ST,Y,2,"Work Complete, CFC Issued",3
147,11,754 BROADWAY ,Y,2,"Work Complete, CFC Issued",3
154,21,1492 PACIFIC AVE,Y,2,"Work Complete, CFC Issued",3
156,55,1125 BROADWAY ,Y,2,"Work Complete, CFC Issued",3
156,3,1635 JONES ST,Y,2,"Work Complete, CFC Issued",3
182,8,1120 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
182,4,1441 TAYLOR ST,Y,2,"Work Complete, CFC Issued",3
182,36,1100 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
183,17,1290 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
183,3,1537 JONES ST,Y,2,"Work Complete, CFC Issued",3
184,9,1312 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
184,10,1324 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
185,5,1529 HYDE ST,Y,2,"Work Complete, CFC Issued",3
187,27,1371 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
187,10,1440 WASHINGTON ST,Y,2,"Work Complete, CFC Issued",3
187,37,1429 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
187,1,1455 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
189,18,1456 JONES ST,Y,2,"Work Complete, CFC Issued",3
189,2,1345 TAYLOR ST,Y,2,"Work Complete, CFC Issued",3
189,33,1400 JONES ST,Y,2,"Work Complete, CFC Issued",3
190,16,1380 TAYLOR ST,Y,2,"Work Complete, CFC Issued",3
213,20,1250 TAYLOR ST,Y,2,"Work Complete, CFC Issued",3
213,16,1224 TAYLOR ST,Y,2,"Work Complete, CFC Issued",3
214,5,1225 TAYLOR ST,Y,2,"Work Complete, CFC Issued",3
216,6,1301 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
216,9,1440 CLAY ST,Y,2,"Work Complete, CFC Issued",3
216,10,1450 CLAY ST,Y,2,"Work Complete, CFC Issued",3
216,1,1355 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
218,19,1595 CLAY ST,Y,2,"Work Complete, CFC Issued",3
219,4,1201 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
219,12,1490 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
220,29,1385 CLAY ST,Y,2,"Work Complete, CFC Issued",3
220,8,1300 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
223,16,1 DAWSON PL,Y,2,"Work Complete, CFC Issued",3
243,8,814 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",3
243,56,840 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",3
247,27,1359A SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
248,1,1155 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
249,19,1480 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
251,7,1200 PINE ST,Y,2,"Work Complete, CFC Issued",3
251,13,1270 PINE ST,Y,2,"Work Complete, CFC Issued",3
251,4,1031 LEAVENWORTH ST,Y,2,"Work Complete, CFC Issued",3
252,17,1299 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",3
254,16,950 PINE ST,Y,2,"Work Complete, CFC Issued",3
256,1,655 STOCKTON ST,Y,2,"Work Complete, CFC Issued",3
256,3,621 STOCKTON ST,Y,2,"Work Complete, CFC Issued",3
272,20,745 PINE ST,Y,2,"Work Complete, CFC Issued",3
273,001B,821 PINE ST,Y,2,"Work Complete, CFC Issued",3
273,001C,825 PINE ST,Y,2,"Work Complete, CFC Issued",3
273,001D,835 PINE ST,Y,2,"Work Complete, CFC Issued",3
274,25,735 MASON ST,Y,2,"Work Complete, CFC Issued",3
274,25,735 MASON ST,Y,2,"Work Complete, CFC Issued",3
274,16,995 PINE ST,Y,2,"Work Complete, CFC Issued",3
274,23,929 PINE ST,Y,2,"Work Complete, CFC Issued",3
274,21,955 PINE ST,Y,2,"Work Complete, CFC Issued",3
274,24,755 MASON ST,Y,2,"Work Complete, CFC Issued",3
276,117,1145 PINE ST,Y,2,"Work Complete, CFC Issued",3
277,1,1201 PINE ST,Y,2,"Work Complete, CFC Issued",3
278,12,1385 PINE ST,Y,2,"Work Complete, CFC Issued",3
0442A,1,1801 BEACH ST,Y,2,"Work Complete, CFC Issued",2
0443A,21,1745 BEACH ST,Y,2,"Work Complete, CFC Issued",2
0443A,001D,3665 FILLMORE ST,Y,2,"Work Complete, CFC Issued",2
453,4,940 BAY ST,Y,2,"Work Complete, CFC Issued",2
453,004A,950 BAY ST,Y,2,"Work Complete, CFC Issued",2
0460A,9,1640 BAY ST,Y,2,"Work Complete, CFC Issued",2
0463A,1,225 MALLORCA WY,Y,2,"Work Complete, CFC Issued",2
0463A,33,25 CAPRA WY,Y,2,"Work Complete, CFC Issued",2
471,1,3355 OCTAVIA ST,Y,2,"Work Complete, CFC Issued",2
473,013D,3210 GOUGH ST,Y,2,"Work Complete, CFC Issued",2
478,001B,2855 POLK ST,Y,2,"Work Complete, CFC Issued",2
478,001C,2845 POLK ST,Y,2,"Work Complete, CFC Issued",2
478,1,1101 FRANCISCO ST,Y,2,"Work Complete, CFC Issued",2
479,1,2975 VAN NESS AV,Y,2,"Work Complete, CFC Issued",2
481,9,3101 GOUGH ST,Y,2,"Work Complete, CFC Issued",2
492,29,3344 FILLMORE ST,Y,2,"Work Complete, CFC Issued",2
492,28,3334 FILLMORE ST,Y,2,"Work Complete, CFC Issued",2
493,016E,1895 CHESTNUT ST,Y,2,"Work Complete, CFC Issued",2
495,7,3250 LAGUNA ST,Y,2,"Work Complete, CFC Issued",2
495,8,1665 CHESTNUT ST,Y,2,"Work Complete, CFC Issued",2
495,001A,3145 OCTAVIA ST,Y,2,"Work Complete, CFC Issued",2
495,1,3155 OCTAVIA ST,Y,2,"Work Complete, CFC Issued",2
499,001H,1229 CHESTNUT ST,Y,2,"Work Complete, CFC Issued",2
503,011A,2810 FRANKLIN ST,Y,2,"Work Complete, CFC Issued",2
503,7,1520 GREENWICH ST,Y,2,"Work Complete, CFC Issued",2
504,1,1501 LOMBARD ST,Y,2,"Work Complete, CFC Issued",2
505,2,2901 GOUGH ST,Y,2,"Work Complete, CFC Issued",2
508,12,3100 WEBSTER ST,Y,2,"Work Complete, CFC Issued",2
511,39,2265 LOMBARD ST,Y,2,"Work Complete, CFC Issued",2
514,15,2360 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
520,12,1760 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
522,7,1580 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
523,15,2642 VAN NESS AV,Y,2,"Work Complete, CFC Issued",2
525,52,1335 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
525,8,2301 LARKIN ST,Y,2,"Work Complete, CFC Issued",2
526,16,2500 VAN NESS AV,Y,2,"Work Complete, CFC Issued",2
527,020A,2650 FRANKLIN ST,Y,2,"Work Complete, CFC Issued",2
528,13,1695 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
528,19,1645 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
531,23,1961 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
532,28,2035 FILBERT ST,Y,2,"Work Complete, CFC Issued",2
540,2,2843 WEBSTER ST,Y,2,"Work Complete, CFC Issued",2
547,11,2440 VAN NESS AV,Y,2,"Work Complete, CFC Issued",3
548,1,2265 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
548,001B,2235 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
548,26,2221 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
549,22,1325 GREEN ST,Y,2,"Work Complete, CFC Issued",3
551,18,1535 GREEN ST,Y,2,"Work Complete, CFC Issued",2
551,017A,1545 GREEN ST,Y,2,"Work Complete, CFC Issued",2
555,7,2000 VALLEJO ST,Y,2,"Work Complete, CFC Issued",2
575,4,1720 PACIFIC AV,Y,2,"Work Complete, CFC Issued",2
575,6,1740 PACIFIC AV,Y,2,"Work Complete, CFC Issued",2
575,16,1770 PACIFIC AV,Y,2,"Work Complete, CFC Issued",2
576,47,1769 BROADWAY ,Y,2,"Work Complete, CFC Issued",2
579,1,2001 BROADWAY ,Y,2,"Work Complete, CFC Issued",2
588,18,2395 PACIFIC AV,Y,2,"Work Complete, CFC Issued",2
590,9,2199 PACIFIC AV,Y,2,"Work Complete, CFC Issued",2
590,4,2130 JACKSON ST,Y,2,"Work Complete, CFC Issued",2
591,12,2171 PACIFIC AV,Y,2,"Work Complete, CFC Issued",2
596,12,1534 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
596,20,1580 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
597,4,1731 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
597,19,1565 JACKSON ST,Y,2,"Work Complete, CFC Issued",3
600,5,1940 WASHINGTON ST,Y,2,"Work Complete, CFC Issued",2
602,14,2077 JACKSON ST,Y,2,"Work Complete, CFC Issued",2
613,23,2325 WASHINGTON ST,Y,2,"Work Complete, CFC Issued",2
617,13,2080 GOUGH ST,Y,2,"Work Complete, CFC Issued",2
617,7,1960 CLAY ST,Y,2,"Work Complete, CFC Issued",2
618,11,1940 FRANKLIN ST,Y,2,"Work Complete, CFC Issued",2
621,6,1501 LARKIN ST,Y,2,"Work Complete, CFC Issued",3
627,14,2250 BUCHANAN ST,Y,2,"Work Complete, CFC Issued",2
638,41,2205 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",2
638,5,2136 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
644,23,1637 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
644,21,1655 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
644,18,1677 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
644,1,1601 SACRAMENTO ST,Y,2,"Work Complete, CFC Issued",3
644,12,1534 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",3
651,1,2101 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",5
651,32,1905 LAGUNA ST,Y,2,"Work Complete, CFC Issued",5
652,24,2295 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
652,38,2211 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
653,28,2355 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
656,022A,2659 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
657,18,2583 PINE ST,Y,2,"Work Complete, CFC Issued",5
663,3,1705 OCTAVIA ST,Y,2,"Work Complete, CFC Issued",5
664,36,1805 PINE ST,Y,2,"Work Complete, CFC Issued",5
665,23,1791 PINE ST,Y,2,"Work Complete, CFC Issued",2
672,4,1440 SUTTER ST,Y,2,"Work Complete, CFC Issued",2
673,1,1701 BUSH ST,Y,2,"Work Complete, CFC Issued",5
674,003A,1646 SUTTER ST,Y,2,"Work Complete, CFC Issued",5
674,19,1630 SUTTER ST,Y,2,"Work Complete, CFC Issued",5
726,014C,1775 OFARRELL ST,Y,2,"Work Complete, CFC Issued",5
726,014A,1795 OFARRELL ST,Y,2,"Work Complete, CFC Issued",5
729,45,1801 ELLIS ST,Y,2,"Work Complete, CFC Issued",5
744,19,923 EDDY ST,Y,2,"Work Complete, CFC Issued",5
744,20,885 FRANKLIN ST,Y,2,"Work Complete, CFC Issued",5
749,006A,1445 EDDY ST,Y,2,"Work Complete, CFC Issued",5
754,006B,1460 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
755,6,1350 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
771,1,999 LAGUNA ST,Y,2,"Work Complete, CFC Issued",5
775,019B,1495 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
776,32,1509 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
776,4,1400 MCALLISTER ST,Y,2,"Work Complete, CFC Issued",5
778,7,1040 FULTON ST,Y,2,"Work Complete, CFC Issued",5
794,4,506 GROVE ST,Y,2,"Work Complete, CFC Issued",5
794,14,700 LAGUNA ST,Y,2,"Work Complete, CFC Issued",5
803,8,940 HAYES ST,Y,2,"Work Complete, CFC Issued",5
805,17,780 HAYES ST,Y,2,"Work Complete, CFC Issued",5
809,004A,305 FRANKLIN ST,Y,2,"Work Complete, CFC Issued",5
809,17,351 GROVE ST,Y,2,"Work Complete, CFC Issued",5
816,9,330 GOUGH ST,Y,2,"Work Complete, CFC Issued",5
818,2,431 OCTAVIA ST,Y,2,"Work Complete, CFC Issued",5
819,12,566 FELL ST,Y,2,"Work Complete, CFC Issued",5
823,1,655 STEINER ST,Y,2,"Work Complete, CFC Issued",5
824,002B,1050 FELL ST,Y,2,"Work Complete, CFC Issued",5
824,2,1145 HAYES ST,Y,2,"Work Complete, CFC Issued",5
825,40,900 OAK ST,Y,2,"Work Complete, CFC Issued",5
826,24,400 PIERCE ST,Y,2,"Work Complete, CFC Issued",5
828,5,600 OAK ST,Y,2,"Work Complete, CFC Issued",5
828,001A,445 WEBSTER ST,Y,2,"Work Complete, CFC Issued",5
828,1,701 FELL ST,Y,2,"Work Complete, CFC Issued",5
830,15,520 BUCHANAN ST,Y,2,"Work Complete, CFC Issued",5
837,15,157 OAK ST,Y,2,"Work Complete, CFC Issued",5
838,31,235 OAK ST,Y,2,"Work Complete, CFC Issued",5
839,18,350 LAGUNA ST,Y,2,"Work Complete, CFC Issued",5
840,6,364 PAGE ST,Y,2,"Work Complete, CFC Issued",5
841,004A,400 PAGE ST,Y,2,"Work Complete, CFC Issued",5
841,3,415 BUCHANAN ST,Y,2,"Work Complete, CFC Issued",5
847,1,399 STEINER ST,Y,2,"Work Complete, CFC Issued",5
853,4,48 HAIGHT ST,Y,2,"Work Complete, CFC Issued",5
853,2,75 GOUGH ST,Y,2,"Work Complete, CFC Issued",5
856,21,119 HAIGHT ST,Y,2,"Work Complete, CFC Issued",5
874,3,400 DUBOCE AV,Y,2,"Work Complete, CFC Issued",8
918,1,3555 BRODERICK ST,Y,2,"Work Complete, CFC Issued",2
918,002C,2300 NORTH POINT ST,Y,2,"Work Complete, CFC Issued",2
921,21,2190 BAY ST,Y,2,"Work Complete, CFC Issued",2
928,9,2200 FRANCISCO ST,Y,2,"Work Complete, CFC Issued",2
928,1,2101 BAY ST,Y,2,"Work Complete, CFC Issued",2
929,17,2360 CHESTNUT ST,Y,2,"Work Complete, CFC Issued",2
929,1,2201 FRANCISCO ST,Y,2,"Work Complete, CFC Issued",2
937,3,3101 SCOTT ST,Y,2,"Work Complete, CFC Issued",2
941,26,2875 GREENWICH ST,Y,2,"Work Complete, CFC Issued",2
975,4,3016 JACKSON ST,Y,2,"Work Complete, CFC Issued",2
998,1,3201 WASHINGTON ST,Y,2,"Work Complete, CFC Issued",2
1001,21,2136 BRODERICK ST,Y,2,"Work Complete, CFC Issued",2
1001,23,2148 BRODERICK ST,Y,2,"Work Complete, CFC Issued",2
1015,17,3852 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
1031,26,3167 CALIFORNIA ST,Y,2,"Work Complete, CFC Issued",2
1036,19,90 PARKER AV,Y,2,"Work Complete, CFC Issued",2
1040,40,300 ARGUELLO BL,Y,2,"Work Complete, CFC Issued",2
1040,38,340 ARGUELLO BL,Y,2,"Work Complete, CFC Issued",2
1042,16,90 HEATHER AV,Y,2,"Work Complete, CFC Issued",2
1055,11,750 PRESIDIO AV,Y,2,"Work Complete, CFC Issued",2
1057,13,600 LAUREL ST,Y,2,"Work Complete, CFC Issued",2
1057,9,99 LUPINE AV,Y,2,"Work Complete, CFC Issued",2
1058,12,10 LUPINE AV,Y,2,"Work Complete, CFC Issued",2
1058,1,50 LUPINE AV,Y,2,"Work Complete, CFC Issued",2
1061,50,105 PALM AV,Y,2,"Work Complete, CFC Issued",2
1065,53,3220 GEARY BL,Y,2,"Work Complete, CFC Issued",2
1065,51,455 EUCLID AV,Y,2,"Work Complete, CFC Issued",2
1065,54,100 PARKER AV,Y,2,"Work Complete, CFC Issued",2
1066,50,435 EUCLID AV ,Y,2,"Work Complete, CFC Issued",2
1067,46,395 EUCLID AV,Y,2,"Work Complete, CFC Issued",2
1079,18,2345 POST ST,Y,2,"Work Complete, CFC Issued",5
1079,4,2230 GEARY BL,Y,2,"Work Complete, CFC Issued",5
1089,35,400 ANZA ST,Y,2,"Work Complete, CFC Issued",1
1102,1,1261 BRODERICK ST,Y,2,"Work Complete, CFC Issued",2
1103,13,70 TERRA VISTA AV,Y,2,"Work Complete, CFC Issued",2
1142,43,3125 TURK BL,Y,2,"Work Complete, CFC Issued",1
1151,7,801 BAKER ST,Y,2,"Work Complete, CFC Issued",5
1152,19,1888 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
1153,6,1700 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
1154,1,1701 TURK ST,Y,2,"Work Complete, CFC Issued",5
1154,006A,1600 GOLDEN GATE AV,Y,2,"Work Complete, CFC Issued",5
1155,24,998 DIVISADERO ST,Y,2,"Work Complete, CFC Issued",5
1167,43,756 ARGUELLO BL,Y,2,"Work Complete, CFC Issued",1
1167,42,2750 MCALLISTER ST,Y,2,"Work Complete, CFC Issued",1
1168,27,860 ARGUELLO BL,Y,2,"Work Complete, CFC Issued",1
1177,25,644 LYON ST,Y,2,"Work Complete, CFC Issued",5
1200,013B,430 BAKER ST,Y,2,"Work Complete, CFC Issued",5
1212,11,2030 FELL ST,Y,2,"Work Complete, CFC Issued",5
1219,1,291 BRODERICK ST,Y,2,"Work Complete, CFC Issued",5
1221,24,230 CENTRAL AV,Y,2,"Work Complete, CFC Issued",5
1227,24,600 STANYAN ST,Y,2,"Work Complete, CFC Issued",5
1227,28,2065 OAK ST,Y,2,"Work Complete, CFC Issued",5
1228,10,1965 PAGE ST,Y,2,"Work Complete, CFC Issued",5
1234,17,1296 HAIGHT ST,Y,2,"Work Complete, CFC Issued",5
1254,045A,1485 WALLER ST,Y,2,"Work Complete, CFC Issued",5
1266,19,294 CARL ST,Y,2,"Work Complete, CFC Issued",5
1272,11,144 PARNASSUS AV,Y,2,"Work Complete, CFC Issued",5
1275,5,1355 WILLARD ST,Y,2,"Work Complete, CFC Issued",5
1275,1,301 CARL ST,Y,2,"Work Complete, CFC Issued",5
1355,12,100 LAKE ST,Y,2,"Work Complete, CFC Issued",2
1361,47,237 ARGUELLO BL,Y,2,"Work Complete, CFC Issued",1
1365,1,401 LAKE ST,Y,2,"Work Complete, CFC Issued",2
1379,41,174 20TH AV,Y,2,"Work Complete, CFC Issued",1
1381,12,175 21ST AV,Y,2,"Work Complete, CFC Issued",1
1412,14,295 21ST AV,Y,2,"Work Complete, CFC Issued",1
1422,45,230 12TH AV,Y,2,"Work Complete, CFC Issued",1
1446,19,375 14TH AV,Y,2,"Work Complete, CFC Issued",1
1452,47,359 20TH AV,Y,2,"Work Complete, CFC Issued",1
1452,46,376 21ST AV,Y,2,"Work Complete, CFC Issued",1
1457,42,423 25TH AV,Y,2,"Work Complete, CFC Issued",1
1462,23,490 31ST AV,Y,2,"Work Complete, CFC Issued",1
1465,18,430 34TH AV,Y,2,"Work Complete, CFC Issued",1
1467,22,7100 GEARY BL,Y,2,"Work Complete, CFC Issued",1
1472,24,7630 GEARY BL,Y,2,"Work Complete, CFC Issued",1
1506,1,501 38TH AV,Y,2,"Work Complete, CFC Issued",1
1515,42,524 30TH AV,Y,2,"Work Complete, CFC Issued",1
1530,33,465 14TH AV,Y,2,"Work Complete, CFC Issued",1
